"Data compiled by Iraq Body Count as of Saturday, 30th December 2010"
"The reports from which this data is derived have all been in the public domain."
"This derivation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
"For a detailed explanation of IBC figures and how they are derived, see"
"http://www.iraqbodycount.org/about/"

Maximum recorded killed from 2003 to 2011 by month
"dataset 1: any perpetrators, in Iraq, any weapons, killing 1 or more"

"Period Starting","dataset 1"
"Jan 2003",3
"Feb 2003",2
"Mar 2003",3977
"Apr 2003",3437
"May 2003",547
"Jun 2003",594
"Jul 2003",651
"Aug 2003",796
"Sep 2003",561
"Oct 2003",520
"Nov 2003",488
"Dec 2003",528
"Jan 2004",597
"Feb 2004",651
"Mar 2004",986
"Apr 2004",1302
"May 2004",657
"Jun 2004",894
"Jul 2004",812
"Aug 2004",861
"Sep 2004",1030
"Oct 2004",998
"Nov 2004",1603
"Dec 2004",1021
"Jan 2005",1168
"Feb 2005",1267
"Mar 2005",847
"Apr 2005",1109
"May 2005",1320
"Jun 2005",1283
"Jul 2005",1517
"Aug 2005",2255
"Sep 2005",1403
"Oct 2005",1294
"Nov 2005",1447
"Dec 2005",1121
"Jan 2006",1544
"Feb 2006",1557
"Mar 2006",1931
"Apr 2006",1761
"May 2006",2179
"Jun 2006",2521
"Jul 2006",3208
"Aug 2006",2807
"Sep 2006",2529
"Oct 2006",2960
"Nov 2006",3024
"Dec 2006",2785
"Jan 2007",2897
"Feb 2007",2587
"Mar 2007",2674
"Apr 2007",2483
"May 2007",2798
"Jun 2007",2166
"Jul 2007",2659
"Aug 2007",2397
"Sep 2007",1292
"Oct 2007",1241
"Nov 2007",1083
"Dec 2007",956
"Jan 2008",816
"Feb 2008",1027
"Mar 2008",1607
"Apr 2008",1258
"May 2008",792
"Jun 2008",693
"Jul 2008",605
"Aug 2008",611
"Sep 2008",557
"Oct 2008",544
"Nov 2008",503
"Dec 2008",553
"Jan 2009",327
"Feb 2009",365
"Mar 2009",422
"Apr 2009",503
"May 2009",337
"Jun 2009",497
"Jul 2009",400
"Aug 2009",611
"Sep 2009",303
"Oct 2009",405
"Nov 2009",211
"Dec 2009",458
"Jan 2010",260
"Feb 2010",301
"Mar 2010",335
"Apr 2010",381
"May 2010",377
"Jun 2010",377
"Jul 2010",424
"Aug 2010",516
"Sep 2010",252
"Oct 2010",311
"Nov 2010",302
"Dec 2010",217
"Jan 2011",387
"Feb 2011",250
"Mar 2011",307
"Apr 2011",285
"May 2011",378
"Jun 2011",385
"Jul 2011",305
"Aug 2011",398
"Sep 2011",394
"Oct 2011",355
"Nov 2011",272
"Dec 2011",386
