CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,NATURALINC2010,NATURALINC2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NETMIG2010,NETMIG2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,RESIDUAL2010,RESIDUAL2011
102,,,,"Albany-Corvallis-Lebanon, OR",Combined Statistical Area,202251,202253,202384,204050,131,1666,118,450,548,2158,430,1708,15,1215,90,332,-75,883,-2,1
102,10540,,,"Albany-Lebanon, OR",Micropolitan Statistical Area,116672,116672,116857,118122,185,1265,68,234,357,1405,289,1171,122,1027,19,76,103,951,-5,4
102,10540,,41043,"Linn County, OR",County or equivalent,116672,116672,116857,118122,185,1265,68,234,357,1405,289,1171,122,1027,19,76,103,951,-5,4
102,18700,,,"Corvallis, OR",Metropolitan Statistical Area,85579,85581,85527,85928,-54,401,50,216,191,753,141,537,-107,188,71,256,-178,-68,3,-3
102,18700,,41003,"Benton County, OR",County or equivalent,85579,85581,85527,85928,-54,401,50,216,191,753,141,537,-107,188,71,256,-178,-68,3,-3
104,,,,"Albany-Schenectady-Amsterdam, NY",Combined Statistical Area,1168485,1168485,1168762,1168120,277,-642,436,1468,3026,11978,2590,10510,-138,-2083,436,1402,-574,-3485,-21,-27
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870718,870966,871478,248,512,443,1541,2293,9044,1850,7503,-184,-1002,408,1246,-592,-2248,-11,-27
104,10580,,36001,"Albany County, NY",County or equivalent,304204,304206,303889,303565,-317,-324,133,467,769,3038,636,2571,-453,-781,188,601,-641,-1382,3,-10
104,10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159429,159465,159395,36,-70,78,268,443,1753,365,1485,-37,-335,75,278,-112,-613,-5,-3
104,10580,,36091,"Saratoga County, NY",County or equivalent,219607,219607,219988,220882,381,894,126,460,547,2145,421,1685,257,441,68,82,189,359,-2,-7
104,10580,,36093,"Schenectady County, NY",County or equivalent,154727,154727,154932,155058,205,126,122,353,467,1834,345,1481,88,-225,76,277,12,-502,-5,-2
104,10580,,36095,"Schoharie County, NY",County or equivalent,32749,32749,32692,32578,-57,-114,-16,-7,67,274,83,281,-39,-102,1,8,-40,-110,-2,-5
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,50219,50219,50260,49916,41,-344,15,35,153,611,138,576,28,-382,9,47,19,-429,-2,3
104,11220,,36057,"Montgomery County, NY",County or equivalent,50219,50219,50260,49916,41,-344,15,35,153,611,138,576,28,-382,9,47,19,-429,-2,3
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,128923,128921,129045,128996,124,-49,10,16,314,1252,304,1236,117,-61,8,45,109,-106,-3,-4
104,24020,,36113,"Warren County, NY",County or equivalent,65707,65705,65723,65831,18,108,4,14,158,629,154,615,17,97,6,28,11,69,-3,-3
104,24020,,36115,"Washington County, NY",County or equivalent,63216,63216,63322,63165,106,-157,6,2,156,623,150,621,100,-158,2,17,98,-175,0,-1
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,55531,55531,55471,55180,-60,-291,-8,-42,134,540,142,582,-50,-250,1,16,-51,-266,-2,1
104,24100,,36035,"Fulton County, NY",County or equivalent,55531,55531,55471,55180,-60,-291,-8,-42,134,540,142,582,-50,-250,1,16,-51,-266,-2,1
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,63096,63096,63020,62550,-76,-470,-24,-82,132,531,156,613,-49,-388,10,48,-59,-436,-3,0
104,26460,,36021,"Columbia County, NY",County or equivalent,63096,63096,63020,62550,-76,-470,-24,-82,132,531,156,613,-49,-388,10,48,-59,-436,-3,0
112,,,,"Ames-Boone, IA",Combined Statistical Area,115848,115848,115846,115918,-2,72,101,467,305,1234,204,767,-107,-401,92,371,-199,-772,4,6
112,11180,,,"Ames, IA",Metropolitan Statistical Area,89542,89542,89567,89663,25,96,115,482,236,948,121,466,-95,-394,91,370,-186,-764,5,8
112,11180,,19169,"Story County, IA",County or equivalent,89542,89542,89567,89663,25,96,115,482,236,948,121,466,-95,-394,91,370,-186,-764,5,8
112,14340,,,"Boone, IA",Micropolitan Statistical Area,26306,26306,26279,26255,-27,-24,-14,-15,69,286,83,301,-12,-7,1,1,-13,-8,-1,-2
112,14340,,19015,"Boone County, IA",County or equivalent,26306,26306,26279,26255,-27,-24,-14,-15,69,286,83,301,-12,-7,1,1,-13,-8,-1,-2
118,,,,"Appleton-Oshkosh-Neenah, WI",Combined Statistical Area,392660,392660,393076,395102,416,2026,496,1833,1196,4661,700,2828,-73,211,59,223,-132,-12,-7,-18
118,11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225666,225984,227403,318,1419,336,1286,704,2750,368,1464,-16,140,37,128,-53,12,-2,-7
118,11540,,55015,"Calumet County, WI",County or equivalent,48971,48971,49019,49490,48,471,57,249,142,566,85,317,-9,222,1,24,-10,198,0,0
118,11540,,55087,"Outagamie County, WI",County or equivalent,176695,176695,176965,177913,270,948,279,1037,562,2184,283,1147,-7,-82,36,104,-43,-186,-2,-7
118,36780,,,"Oshkosh-Neenah, WI",Metropolitan Statistical Area,166994,166994,167092,167699,98,607,160,547,492,1911,332,1364,-57,71,22,95,-79,-24,-5,-11
118,36780,,55139,"Winnebago County, WI",County or equivalent,166994,166994,167092,167699,98,607,160,547,492,1911,332,1364,-57,71,22,95,-79,-24,-5,-11
120,,,,"Asheville-Brevard, NC",Combined Statistical Area,457948,457949,458643,461837,694,3194,-57,-163,1127,4671,1184,4834,768,3354,183,600,585,2754,-17,3
120,11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424859,425567,429017,708,3450,-35,-94,1063,4384,1098,4478,757,3536,175,564,582,2972,-14,8
120,11700,,37021,"Buncombe County, NC",County or equivalent,238318,238319,238846,241419,527,2573,74,258,635,2570,561,2312,454,2299,118,352,336,1947,-1,16
120,11700,,37087,"Haywood County, NC",County or equivalent,59036,59036,58974,58855,-62,-119,-44,-146,127,542,171,688,-13,31,4,12,-17,19,-5,-4
