SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
040,31,000,00000,00000,00000,Nebraska,Nebraska,1826341,1826341,1830141,1842641
162,31,000,00205,00000,00000,Abie village,Nebraska,69,69,69,68
162,31,000,00240,00000,00000,Adams village,Nebraska,573,573,573,566
162,31,000,00415,00000,00000,Ainsworth city,Nebraska,1728,1728,1734,1712
162,31,000,00555,00000,00000,Albion city,Nebraska,1650,1650,1649,1623
162,31,000,00625,00000,00000,Alda village,Nebraska,642,642,643,652
162,31,000,00730,00000,00000,Alexandria village,Nebraska,177,177,177,174
162,31,000,00870,00000,00000,Allen village,Nebraska,377,377,376,376
162,31,000,00905,00000,00000,Alliance city,Nebraska,8491,8491,8479,8548
162,31,000,00975,00000,00000,Alma city,Nebraska,1133,1133,1133,1130
162,31,000,01150,00000,00000,Alvo village,Nebraska,132,132,132,132
162,31,000,01290,00000,00000,Amherst village,Nebraska,248,248,248,252
162,31,000,01465,00000,00000,Anoka village,Nebraska,6,6,6,6
162,31,000,01500,00000,00000,Anselmo village,Nebraska,145,145,144,145
162,31,000,01535,00000,00000,Ansley village,Nebraska,441,441,440,440
162,31,000,01780,00000,00000,Arapahoe city,Nebraska,1026,1026,1026,1023
162,31,000,01850,00000,00000,Arcadia village,Nebraska,311,311,312,307
162,31,000,01990,00000,00000,Arlington village,Nebraska,1243,1243,1247,1246
162,31,000,02095,00000,00000,Arnold village,Nebraska,597,597,595,594
162,31,000,02200,00000,00000,Arthur village,Nebraska,117,117,119,119
162,31,000,02305,00000,00000,Ashland city,Nebraska,2453,2453,2463,2462
162,31,000,02375,00000,00000,Ashton village,Nebraska,194,194,194,191
162,31,000,02550,00000,00000,Atkinson city,Nebraska,1245,1245,1246,1240
162,31,000,02620,00000,00000,Atlanta village,Nebraska,131,131,131,132
162,31,000,02655,00000,00000,Auburn city,Nebraska,3460,3460,3464,3475
162,31,000,02690,00000,00000,Aurora city,Nebraska,4479,4479,4483,4453
162,31,000,02795,00000,00000,Avoca village,Nebraska,242,242,242,241
162,31,000,02830,00000,00000,Axtell village,Nebraska,726,726,727,738
162,31,000,02865,00000,00000,Ayr village,Nebraska,94,94,94,94
162,31,000,03005,00000,00000,Bancroft village,Nebraska,495,495,496,497
162,31,000,03040,00000,00000,Barada village,Nebraska,24,24,24,24
162,31,000,03075,00000,00000,Barneston village,Nebraska,116,116,116,115
162,31,000,03145,00000,00000,Bartlett village,Nebraska,117,117,118,118
162,31,000,03180,00000,00000,Bartley village,Nebraska,283,283,283,282
162,31,000,03215,00000,00000,Bassett city,Nebraska,619,619,617,607
162,31,000,03250,00000,00000,Battle Creek city,Nebraska,1207,1207,1209,1209
162,31,000,03285,00000,00000,Bayard city,Nebraska,1209,1209,1209,1198
162,31,000,03355,00000,00000,Bazile Mills village,Nebraska,29,29,29,29
162,31,000,03390,00000,00000,Beatrice city,Nebraska,12459,12459,12452,12302
162,31,000,03495,00000,00000,Beaver City city,Nebraska,609,609,609,606
162,31,000,03530,00000,00000,Beaver Crossing village,Nebraska,403,403,404,403
162,31,000,03600,00000,00000,Bee village,Nebraska,191,191,192,190
162,31,000,03635,00000,00000,Beemer village,Nebraska,678,678,678,681
162,31,000,03775,00000,00000,Belden village,Nebraska,115,115,115,112
162,31,000,03810,00000,00000,Belgrade village,Nebraska,126,126,126,127
162,31,000,03950,00000,00000,Bellevue city,Nebraska,50137,50137,50405,51319
162,31,000,04020,00000,00000,Bellwood village,Nebraska,435,435,433,429
162,31,000,04160,00000,00000,Belvidere village,Nebraska,48,48,48,48
162,31,000,04195,00000,00000,Benedict village,Nebraska,234,234,234,234
162,31,000,04230,00000,00000,Benkelman city,Nebraska,953,953,953,938
162,31,000,04300,00000,00000,Bennet village,Nebraska,719,719,722,730
162,31,000,04405,00000,00000,Bennington city,Nebraska,1458,1458,1462,1481
162,31,000,04615,00000,00000,Bertrand village,Nebraska,750,750,750,748
162,31,000,04650,00000,00000,Berwyn village,Nebraska,83,83,83,83
162,31,000,04895,00000,00000,Big Springs village,Nebraska,400,400,400,409
162,31,000,05140,00000,00000,Bladen village,Nebraska,237,238,239,235
162,31,000,05350,00000,00000,Blair city,Nebraska,7990,7990,8005,8013
162,31,000,05455,00000,00000,Bloomfield city,Nebraska,1028,1028,1025,1013
162,31,000,05490,00000,00000,Bloomington village,Nebraska,103,103,103,103
162,31,000,05560,00000,00000,Blue Hill city,Nebraska,936,936,937,927
162,31,000,05630,00000,00000,Blue Springs city,Nebraska,331,331,331,326
162,31,000,06015,00000,00000,Boys Town village,Nebraska,745,745,745,745
162,31,000,06050,00000,00000,Bradshaw village,Nebraska,273,273,272,275
162,31,000,06085,00000,00000,Brady village,Nebraska,428,428,427,425
162,31,000,06120,00000,00000,Brainard village,Nebraska,330,330,331,325
162,31,000,06260,00000,00000,Brewster village,Nebraska,17,17,17,17
162,31,000,06295,00000,00000,Bridgeport city,Nebraska,1545,1545,1545,1532
162,31,000,06400,00000,00000,Bristow village,Nebraska,65,65,65,65
162,31,000,06470,00000,00000,Broadwater village,Nebraska,128,128,128,126
162,31,000,06505,00000,00000,Brock village,Nebraska,112,112,112,113
162,31,000,06610,00000,00000,Broken Bow city,Nebraska,3559,3559,3546,3546
162,31,000,06750,00000,00000,Brownville village,Nebraska,132,132,132,133
162,31,000,06785,00000,00000,Brule village,Nebraska,326,326,327,323
162,31,000,06820,00000,00000,Bruning village,Nebraska,279,279,279,275
162,31,000,06855,00000,00000,Bruno village,Nebraska,99,99,99,98
162,31,000,06890,00000,00000,Brunswick village,Nebraska,138,138,137,135
162,31,000,07065,00000,00000,Burchard village,Nebraska,82,82,82,81
162,31,000,07205,00000,00000,Burr village,Nebraska,57,57,57,57
162,31,000,07310,00000,00000,Burton village,Nebraska,10,10,10,10
162,31,000,07345,00000,00000,Burwell city,Nebraska,1210,1210,1208,1200
162,31,000,07415,00000,00000,Bushnell village,Nebraska,124,124,124,123
162,31,000,07485,00000,00000,Butte village,Nebraska,326,326,326,323
162,31,000,07555,00000,00000,Byron village,Nebraska,83,83,83,81
162,31,000,07625,00000,00000,Cairo village,Nebraska,785,785,786,796
162,31,000,07660,00000,00000,Callaway village,Nebraska,539,539,537,538
162,31,000,07730,00000,00000,Cambridge city,Nebraska,1063,1063,1063,1060
162,31,000,07870,00000,00000,Campbell village,Nebraska,347,347,348,346
162,31,000,07975,00000,00000,Carleton village,Nebraska,91,91,91,90
162,31,000,08010,00000,00000,Carroll village,Nebraska,229,229,229,226
162,31,000,08150,00000,00000,Cedar Bluffs village,Nebraska,610,610,612,612
162,31,000,08185,00000,00000,Cedar Creek village,Nebraska,390,390,390,389
162,31,000,08220,00000,00000,Cedar Rapids village,Nebraska,382,382,382,374
162,31,000,08360,00000,00000,Center village,Nebraska,94,94,94,93
162,31,000,08535,00000,00000,Central City city,Nebraska,2934,2934,2936,2892
162,31,000,08570,00000,00000,Ceresco village,Nebraska,889,889,894,894
162,31,000,08605,00000,00000,Chadron city,Nebraska,5851,5851,5844,5860
162,31,000,08675,00000,00000,Chambers village,Nebraska,268,268,269,268
162,31,000,08780,00000,00000,Chapman village,Nebraska,287,287,287,282
162,31,000,08885,00000,00000,Chappell city,Nebraska,929,929,929,949
162,31,000,09095,00000,00000,Chester village,Nebraska,232,232,232,229
162,31,000,09165,00000,00000,Clarks village,Nebraska,369,369,370,363
162,31,000,09200,00000,00000,Clarkson city,Nebraska,658,658,660,663
162,31,000,09270,00000,00000,Clatonia village,Nebraska,231,231,231,229
