Date,U.S. Total Gasoline Retail Sales by All Sellers (Dollars per Gallon)
Jan-1983,0.971
Feb-1983,0.925
Mar-1983,0.898
Apr-1983,0.947
May-1983,0.966
Jun-1983,0.978
Jul-1983,0.988
Aug-1983,0.984
Sep-1983,0.969
Oct-1983,0.954
Nov-1983,0.939
Dec-1983,0.924
Jan-1984,0.916
Feb-1984,0.915
Mar-1984,0.923
Apr-1984,0.941
May-1984,0.944
Jun-1984,0.933
Jul-1984,0.913
Aug-1984,0.903
Sep-1984,0.907
Oct-1984,0.912
Nov-1984,0.904
Dec-1984,0.882
Jan-1985,0.853
Feb-1985,0.85
Mar-1985,0.886
Apr-1985,0.93
May-1985,0.946
Jun-1985,0.953
Jul-1985,0.955
Aug-1985,0.944
Sep-1985,0.928
Oct-1985,0.922
Nov-1985,0.93
Dec-1985,0.926
Jan-1986,0.889
Feb-1986,0.794
Mar-1986,0.655
Apr-1986,0.617
May-1986,0.661
Jun-1986,0.657
Jul-1986,0.586
Aug-1986,0.574
Sep-1986,0.575
Oct-1986,0.549
Nov-1986,0.55
Dec-1986,0.559
Jan-1987,0.607
Feb-1987,0.623
Mar-1987,0.632
Apr-1987,0.65
May-1987,0.662
Jan-1988,
Feb-1988,
Mar-1988,
Apr-1988,
May-1988,
Jun-1988,
Jul-1988,
Aug-1988,
Sep-1988,
Oct-1988,
Nov-1988,
Dec-1988,
Jan-1989,0.666
Feb-1989,0.67
Mar-1989,0.702
Apr-1989,0.827
May-1989,0.858
Jun-1989,0.847
Jul-1989,0.824
Aug-1989,0.776
Sep-1989,0.767
Oct-1989,0.762
Nov-1989,0.741
Dec-1989,0.741
Jan-1990,0.795
Feb-1990,0.777
Mar-1990,0.764
Apr-1990,0.791
May-1990,0.813
Jun-1990,0.824
Jul-1990,0.819
Aug-1990,0.954
Sep-1990,1.038
Oct-1990,1.093
Nov-1990,1.071
Dec-1990,0.978
Jan-1991,0.895
Feb-1991,0.804
Mar-1991,0.764
Apr-1991,0.795
May-1991,0.835
Jun-1991,0.827
Jul-1991,0.805
Aug-1991,0.824
Sep-1991,0.813
Oct-1991,0.795
Nov-1991,0.803
Dec-1991,0.769
Jan-1992,0.723
Feb-1992,0.715
Mar-1992,0.723
Apr-1992,0.758
May-1992,0.81
Jun-1992,0.84
Jul-1992,0.831
Aug-1992,0.82
Sep-1992,0.819
Oct-1992,0.811
Nov-1992,0.804
Dec-1992,0.773
Jan-1993,0.758
Feb-1993,0.75
Mar-1993,0.751
Apr-1993,0.774
May-1993,0.793
Jun-1993,0.788
Jul-1993,0.769
Aug-1993,0.758
Sep-1993,0.747
Oct-1993,0.746
Nov-1993,0.719
Dec-1993,0.673
Jan-1994,0.661
Feb-1994,0.67
Mar-1994,0.668
Apr-1994,0.688
May-1994,0.705
Jun-1994,0.733
Jul-1994,0.764
Aug-1994,0.8
Sep-1994,0.782
Oct-1994,0.762
Nov-1994,0.765
Dec-1994,0.741
Jan-1995,0.733
Feb-1995,0.726
Mar-1995,0.726
Apr-1995,0.771
May-1995,0.827
Jun-1995,0.829
Jul-1995,0.794
Aug-1995,0.769
Sep-1995,0.76
Oct-1995,0.736
Nov-1995,0.717
Dec-1995,0.728
Jan-1996,0.741
Feb-1996,0.745
Mar-1996,0.794
Apr-1996,0.875
May-1996,0.908
Jun-1996,0.884
Jul-1996,0.863
Aug-1996,0.845
Sep-1996,0.843
Oct-1996,0.848
Nov-1996,0.873
Dec-1996,0.871
Jan-1997,0.873
Feb-1997,0.862
Mar-1997,0.841
Apr-1997,0.832
May-1997,0.835
Jun-1997,0.824
Jul-1997,0.811
Aug-1997,0.86
